t	p	T	az	ay	ax	gz	gy	gx	fs
192443	303592	28941	108	63	0	-2865	-4691	8003	5
192474	303605	28942	109	50	10	-3391	-4970	7940	5
192506	303598	28942	117	25	5	-2785	-5187	7355	5
192538	303605	28942	98	23	5	487	-4936	7018	5
192569	303605	28944	85	18	-4	2028	-4656	6621	5
192601	303607	28942	78	25	9	-901	-4019	6051	5
192633	303606	28943	61	22	3	-2887	-3527	5370	5
192664	303608	28943	53	13	7	-4199	-2828	4259	5
192696	303617	28942	43	14	13	-4789	-2181	3453	5
192727	303642	28943	36	10	4	-5292	-1553	2611	5
192759	303643	28941	38	9	1	-6606	-741	1588	5
192791	303655	28940	36	6	-2	-7000	-165	851	5
192822	303684	28944	37	6	-1	-7483	478	461	5
192854	303704	28943	44	4	-3	-7511	1332	38	5
192886	303735	28941	32	19	-6	-7235	1917	-115	5
192917	303745	28941	46	13	-4	-7210	2480	-194	5
192949	303744	28943	42	3	-6	-8080	2674	52	5
192980	303760	28942	48	7	0	-8974	2723	236	5
193012	303782	28942	47	12	2	-9549	2613	656	5
193044	303790	28939	43	8	-3	-9855	2234	628	5
193075	303801	28940	42	10	2	-10307	1808	727	5
193107	303831	28940	35	16	-12	-10286	1382	649	5
193139	303846	28939	38	9	-4	-10035	756	428	5
193170	303855	28937	41	9	-3	-10264	-33	200	5
193202	303864	28937	38	20	-10	-10555	-491	-351	5
193233	303880	28940	45	12	-4	-11060	-770	-937	5
193265	303892	28941	44	7	0	-12366	-854	-1091	5
193297	303907	28938	45	4	-1	-12680	-746	-1412	5
193328	303923	28937	49	-2	0	-13247	-375	-1329	5
193360	303945	28937	50	2	2	-13182	-270	-1329	5
193392	303951	28938	48	9	-5	-12643	-54	-1119	5
193423	303985	28937	50	8	6	-11828	168	-1031	5
193455	304004	28940	49	12	1	-11520	82	-573	5
193486	304028	28938	47	8	-11	-13863	-495	318	5
193595	304078	28938	52	18	-1	-15497	-467	673	5
193626	304086	28936	55	9	-1	-16772	-573	680	5
193658	304104	28936	48	2	-7	-17403	-609	569	5
193690	304115	28942	54	8	3	-16812	-540	252	5
193721	304142	28941	57	17	-3	-16344	-372	-307	5
